Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
17797619,Pihu Manne,Uber,11/10/2024,11673,Medium,Card Not Present,Telangana,Rupay,ICICI Bank,0,57,Transportation,Bangalore
50040671,Hiran Vaidya,Zomato,5/20/2024,16594,Medium,Phishing,Maharashtra,Amex,SBI,0,10,Groceries,Bangalore
88177651,Shalv Vasa,Myntra,5/28/2024,23347,Medium,Card Skimming,Uttar Pradesh,Visa,HDFC Bank,0,55,Transportation,Ahmedabad
24228305,Taran Shanker,Lifestyle,1/9/2024,20753,Low,Card Skimming,Kerala,Visa,Federal Bank,0,30,E-commerce,Lucknow
87307869,Shanaya Kara,Tata Cliq,7/27/2024,6432,Low,Card Skimming,Delhi,Amex,SBI,0,86,Electronics,Hyderabad
25042953,Eshani Batta,Lifestyle,12/20/2023,4586,Critical,Card Skimming,West Bengal,Amex,Andhra Bank,0,80,E-commerce,Hyderabad
13457605,Advik Jayaraman,Flipkart,12/26/2023,2202,Medium,Account Takeover,Tamil Nadu,Amex,Bank of Baroda,0,95,Apparel,Mumbai
95389887,Drishya Bhandari,Lifestyle,1/5/2024,17709,High,Card Not Present,Karnataka,Visa,HDFC Bank,0,56,E-commerce,Jaipur
66937046,Mannat Kothari,Zomato,11/9/2024,1613,Low,Phishing,Uttar Pradesh,Rupay,HDFC Bank,1,92,Food Delivery,Bangalore
39375009,Aradhya Khosla,Lifestyle,10/22/2024,21623,Low,Card Skimming,West Bengal,Visa,Bank of Baroda,0,66,Apparel,Delhi
26313417,Lakshay Ravi,Lifestyle,10/8/2024,7180,Critical,Card Skimming,Telangana,Visa,Yes Bank,0,90,Apparel,Mumbai
53768437,Tushar Kara,Amazon India,11/16/2024,1562,Low,Identity Theft,Kerala,Mastercard,Bank of Baroda,0,46,E-commerce,Kolkata
49564502,Shamik Sharaf,Big Bazaar,12/5/2024,1521,Medium,Card Skimming,Karnataka,Visa,HDFC Bank,1,25,Food Delivery,Ahmedabad
46575685,Shray Dutt,Reliance Digital,1/26/2024,18563,Low,Account Takeover,Delhi,Rupay,ICICI Bank,0,19,Transportation,Bangalore
85972172,Prisha Mannan,Reliance Digital,5/29/2024,4486,High,Card Skimming,Maharashtra,Visa,Kotak Bank,1,43,E-commerce,Ahmedabad
74522267,Zeeshan Lalla,Big Bazaar,8/21/2024,11710,Medium,Account Takeover,Gujarat,Amex,Yes Bank,0,76,Food Delivery,Delhi
26829430,Tarini Bedi,Tata Cliq,9/21/2024,24725,Low,Card Not Present,Karnataka,Amex,Kotak Bank,0,85,Transportation,Ahmedabad
76910814,Nehmat Upadhyay,Tata Cliq,12/14/2024,3192,Medium,Identity Theft,Kerala,Rupay,Bank of Baroda,1,31,Transportation,Lucknow
37342915,Rohan Sood,Uber,6/13/2024,950,Low,Card Skimming,Uttar Pradesh,Rupay,Axis Bank,0,88,Electronics,Jaipur
70649904,Jivika Singhal,Amazon India,12/25/2023,7021,Low,Phishing,Maharashtra,Amex,SBI,1,42,Electronics,Chennai
80346732,Adah Chaudhry,Reliance Digital,8/23/2024,7932,High,Card Skimming,Maharashtra,Mastercard,Bank of Baroda,1,39,Electronics,Kochi
39217230,Saksham Rastogi,Uber,10/15/2024,7249,Low,Phishing,Kerala,Visa,SBI,0,41,Apparel,Delhi
29894081,Veer Sridhar,Reliance Digital,10/8/2024,12194,High,Card Skimming,Karnataka,Visa,ICICI Bank,1,37,Electronics,Kochi
41533703,Kanav Chaudhary,Zomato,7/10/2024,24114,Medium,Card Not Present,Maharashtra,Amex,SBI,0,67,Food Delivery,Mumbai
50613866,Rasha Reddy,Big Bazaar,9/10/2024,2983,Critical,Card Skimming,Karnataka,Mastercard,Bank of Baroda,1,85,Electronics,Lucknow
74550146,Tiya Bir,Amazon India,1/5/2024,9673,Low,Account Takeover,Gujarat,Visa,Bank of Baroda,0,91,Food Delivery,Chennai
99502840,Urvi Ghose,Lifestyle,7/25/2024,8158,High,Identity Theft,Karnataka,Visa,Yes Bank,0,24,E-commerce,Lucknow
27654485,Yuvaan Sidhu,Lifestyle,7/19/2024,2375,High,Card Not Present,Maharashtra,Amex,HDFC Bank,0,83,Transportation,Lucknow
73074171,Ojas Shah,Zomato,7/31/2024,10950,Medium,Identity Theft,Gujarat,Visa,HDFC Bank,0,81,Apparel,Delhi
93774582,Tara Johal,Uber,10/11/2024,6527,Low,Identity Theft,Delhi,Mastercard,Federal Bank,0,90,Food Delivery,Mumbai
46788591,Diya Bajaj,Lifestyle,4/28/2024,9549,Medium,Card Skimming,Kerala,Mastercard,HDFC Bank,0,88,Groceries,Hyderabad
27824277,Faiyaz Cheema,Swiggy,10/23/2024,5461,Medium,Card Not Present,Delhi,Rupay,Axis Bank,0,48,Transportation,Mumbai
16938100,Aradhya Dhillon,Uber,1/11/2024,24489,Low,Identity Theft,Rajasthan,Rupay,Federal Bank,1,29,Transportation,Bangalore
66943130,Biju Sood,Lifestyle,10/2/2024,24680,Low,Identity Theft,Maharashtra,Mastercard,SBI,0,80,Food Delivery,Delhi
68375255,Alia Dugar,Myntra,2/15/2024,24578,Low,Card Not Present,Rajasthan,Visa,Federal Bank,0,35,E-commerce,Delhi
50941021,Oorja Borah,Amazon India,12/12/2024,11195,Medium,Account Takeover,Tamil Nadu,Mastercard,Andhra Bank,1,67,Groceries,Ahmedabad
60606372,Kanav Choudhary,Flipkart,7/27/2024,1714,Medium,Account Takeover,Tamil Nadu,Visa,Andhra Bank,1,71,Electronics,Hyderabad
32201823,Zaina Hegde,Flipkart,11/14/2024,14207,Low,Identity Theft,Telangana,Mastercard,Federal Bank,0,21,Transportation,Lucknow
53667574,Yakshit Handa,Zomato,4/8/2024,9803,Low,Card Not Present,Tamil Nadu,Mastercard,Bank of Baroda,0,90,Electronics,Chennai
80084680,Nehmat Sangha,Amazon India,12/3/2024,17897,Medium,Account Takeover,Delhi,Amex,Yes Bank,0,49,E-commerce,Chennai
18010953,Samarth Wason,Reliance Digital,1/19/2024,22366,Medium,Card Skimming,Tamil Nadu,Mastercard,Yes Bank,1,45,Groceries,Kolkata
39335891,Umang Soman,Flipkart,8/15/2024,4064,Medium,Phishing,Maharashtra,Rupay,Federal Bank,0,30,Groceries,Ahmedabad
83700642,Kartik Bose,Uber,8/2/2024,10336,Critical,Card Not Present,West Bengal,Amex,Kotak Bank,0,29,Electronics,Kolkata
54662150,Prerak Zacharia,Swiggy,7/15/2024,1569,Medium,Identity Theft,Gujarat,Rupay,ICICI Bank,0,70,Transportation,Hyderabad
45082504,Hiran Upadhyay,Tata Cliq,2/13/2024,23775,Medium,Identity Theft,Karnataka,Rupay,Yes Bank,0,64,Groceries,Mumbai
54121424,Mamooty Vyas,Zomato,9/5/2024,6711,High,Identity Theft,Telangana,Rupay,Axis Bank,0,80,Groceries,Kochi
72144690,Samar Tandon,Amazon India,1/26/2024,16974,Low,Card Skimming,Delhi,Amex,Axis Bank,0,50,Food Delivery,Chennai
52166999,Pari Behl,Lifestyle,7/8/2024,14653,High,Phishing,Maharashtra,Mastercard,SBI,0,45,Transportation,Chennai
